hidden_size,train_loss,train_accuracy,test_loss,test_accuracy,time
2, 0.478966374565, 0.916597509335, 0.547259178559, 0.805000004768, 2.48110117912
4, 0.410871797825, 0.940663899871, 0.470443400145, 0.856666667461, 2.75145869255
8, 0.295430082726, 0.955186721349, 0.400085060596, 0.861666669846, 2.51098299026
16, 0.197128947011, 0.975518671408, 0.357222070694, 0.883333336512, 2.51642303467
32, 0.132604113326, 0.986307052804, 0.301245125333, 0.888333330154, 2.57655234337
64, 0.0844041671372, 0.992531120332, 0.268046099742, 0.891666665872, 2.58592152596
128, 0.0502515873876, 0.997095435685, 0.29114257137, 0.876666671435, 2.6661878109
256, 0.0297070093422, 0.998340248963, 0.295101760825, 0.871666661898, 2.84914317131
512, 0.0189413205887, 1.0, 0.338683108886, 0.88333332777, 3.06699504852
