hidden_size,embedding_size,train_loss,train_accuracy,test_loss,test_accuracy,time
2, 2, 0.679284474563, 0.606224066959, 0.68058106343, 0.600000000795, 5.0049264431
2, 4, 0.663280808283, 0.634024896958, 0.670393532117, 0.608333332539, 4.95750713348
2, 8, 0.660912328241, 0.675518672521, 0.676457533836, 0.595000000795, 4.9961751461
2, 16, 0.648298779068, 0.835684647253, 0.659337322712, 0.718333330154, 5.03376698494
2, 32, 0.578976512104, 0.887136929065, 0.614030166467, 0.759999998411, 5.08015656471
2, 64, 0.559001515268, 0.841493774845, 0.618295240402, 0.678333326976, 5.03280682564
2, 128, 0.459683429379, 0.943983401896, 0.562593221664, 0.764999993642, 5.26554718018
2, 256, 0.356267140886, 0.96721991627, 0.503615880807, 0.784999996026, 5.46133656502
2, 512, 0.205000534351, 0.99626555977, 0.389840076764, 0.854999995232, 6.13455004692
4, 2, 0.676487730153, 0.533195021365, 0.68673965613, 0.500000001589, 5.06365637779
4, 4, 0.606029865455, 0.660995851364, 0.623325249751, 0.611666666667, 5.46759648323
4, 8, 0.592851880527, 0.816182571922, 0.614818760554, 0.700000002384, 5.18861074448
4, 16, 0.592899445231, 0.859336099783, 0.626093693574, 0.711666671435, 5.11107964516
4, 32, 0.543567914612, 0.8975103729, 0.587946756681, 0.761666665077, 5.0235367775
4, 64, 0.457483624274, 0.913692944723, 0.54777661562, 0.744999996026, 5.06693520546
4, 128, 0.352175147937, 0.94771784079, 0.480508035421, 0.789999999205, 5.19574794769
4, 256, 0.24313079316, 0.97717842294, 0.476861075958, 0.789999990463, 5.46404776573
4, 512, 0.0897200506381, 0.997095435685, 0.443730676572, 0.804999995232, 6.06699376106
8, 2, 0.651225560829, 0.617842323701, 0.655088989735, 0.599999998808, 4.99718503952
8, 4, 0.602920949039, 0.669709543766, 0.58760159572, 0.671666668256, 5.00480480194
8, 8, 0.591503815507, 0.763900415086, 0.609071160158, 0.721666668256, 5.03689665794
8, 16, 0.47285076773, 0.872614107092, 0.528134508133, 0.745000007153, 5.0948073864
8, 32, 0.358097389959, 0.944398338765, 0.418630226851, 0.850000008742, 5.07219500542
8, 64, 0.268221929447, 0.960165973966, 0.399290107886, 0.830000000795, 5.09766144753
8, 128, 0.221760410169, 0.970954356055, 0.395206793149, 0.851666667461, 5.29184961319
8, 256, 0.111255418219, 0.989211618307, 0.373318969607, 0.846666669846, 5.55769720078
8, 512, 0.0486903779085, 0.999170124481, 0.428011540174, 0.839999999205, 6.10727882385
16, 2, 0.625016432605, 0.602074689638, 0.634311476946, 0.574999998013, 5.0646030426
16, 4, 0.476825857459, 0.790456430942, 0.600662246545, 0.696666665077, 5.05774116516
16, 8, 0.383064046082, 0.895020745602, 0.484627761841, 0.779999995232, 5.27780399323
16, 16, 0.285965622968, 0.939419085801, 0.40102273941, 0.823333338896, 5.06460762024
16, 32, 0.229078854787, 0.951867218878, 0.325704967777, 0.876666661104, 5.26188864708
16, 64, 0.142210269129, 0.975103733797, 0.338853344321, 0.86333332936, 5.28033442497
16, 128, 0.0989920553516, 0.985062239872, 0.280875732501, 0.869999996821, 5.43893151283
16, 256, 0.0582108681442, 0.992946057696, 0.345748453538, 0.874999997616, 5.74704642296
16, 512, 0.0205416663105, 0.999170124086, 0.38677106142, 0.873333332539, 6.28100514412
